func_ov033_022b73a0 kind:function(arm,size=0x24) addr:0x22b73a0
func_ov033_022b73c4 kind:function(arm,size=0x18) addr:0x22b73c4
func_ov033_022b73dc kind:function(arm,size=0xc) addr:0x22b73dc
func_ov033_022b73e8 kind:function(arm,size=0xc4) addr:0x22b73e8
func_ov033_022b74ac kind:function(arm,size=0xc4) addr:0x22b74ac
func_ov033_022b7570 kind:function(arm,size=0xc4) addr:0x22b7570
func_ov033_022b7634 kind:function(arm,size=0xa4) addr:0x22b7634
func_ov033_022b76d8 kind:function(arm,size=0x1b8) addr:0x22b76d8
func_ov033_022b7890 kind:function(arm,size=0x2fc) addr:0x22b7890
func_ov033_022b7b8c kind:function(arm,size=0x40) addr:0x22b7b8c
func_ov033_022b7bcc kind:function(arm,size=0x84) addr:0x22b7bcc
func_ov033_022b7c50 kind:function(arm,size=0x8c) addr:0x22b7c50
func_ov033_022b7cdc kind:function(arm,size=0x14) addr:0x22b7cdc
func_ov033_022b7cf0 kind:function(arm,size=0x14) addr:0x22b7cf0
func_ov033_022b7d04 kind:function(arm,size=0x54) addr:0x22b7d04
func_ov033_022b7d58 kind:function(arm,size=0xdc) addr:0x22b7d58
func_ov033_022b7e34 kind:function(arm,size=0x3c) addr:0x22b7e34
func_ov033_022b7e70 kind:function(arm,size=0x554) addr:0x22b7e70
func_ov033_022b83c4 kind:function(arm,size=0x30) addr:0x22b83c4
func_ov033_022b83f4 kind:function(arm,size=0x16c) addr:0x22b83f4
func_ov033_022b8560 kind:function(arm,size=0xc4) addr:0x22b8560
func_ov033_022b8624 kind:function(arm,size=0x35c) addr:0x22b8624
func_ov033_022b8980 kind:function(arm,size=0x8) addr:0x22b8980
func_ov033_022b8988 kind:function(arm,size=0x80) addr:0x22b8988
func_ov033_022b8a08 kind:function(arm,size=0x130) addr:0x22b8a08
func_ov033_022b8b38 kind:function(arm,size=0x6c) addr:0x22b8b38
func_ov033_022b8ba4 kind:function(arm,size=0x40c) addr:0x22b8ba4
func_ov033_022b8fb0 kind:function(arm,size=0x80) addr:0x22b8fb0
func_ov033_022b9030 kind:function(arm,size=0x544) addr:0x22b9030
func_ov033_022b9574 kind:function(arm,size=0x90) addr:0x22b9574
func_ov033_022b9604 kind:function(arm,size=0x390) addr:0x22b9604
func_ov033_022b9994 kind:function(arm,size=0x3c) addr:0x22b9994
func_ov033_022b99d0 kind:function(arm,size=0x6a8) addr:0x22b99d0
func_ov033_022ba078 kind:function(arm,size=0x28) addr:0x22ba078
Enemy236Init kind:function(arm,size=0x230) addr:0x22ba0a0
Enemy236Main kind:function(arm,size=0x184) addr:0x22ba2d0
data_ov033_022ba454 kind:data(any) addr:0x22ba454
data_ov033_022ba46c kind:data(any) addr:0x22ba46c
data_ov033_022ba4e0 kind:data(any) addr:0x22ba4e0 ambiguous
data_ov033_022ba4e8 kind:data(any) addr:0x22ba4e8 ambiguous
data_ov033_022ba700 kind:data(any) addr:0x22ba700
